epoch:0; SSE:4388; MSE: 0.27425
epoch:1; SSE:2910.38; MSE: 0.181899
epoch:2; SSE:2454.38; MSE: 0.153399
epoch:3; SSE:2192.39; MSE: 0.137024
epoch:4; SSE:2053.32; MSE: 0.128332
epoch:5; SSE:1871.5; MSE: 0.116969
epoch:6; SSE:1706.76; MSE: 0.106672
epoch:7; SSE:1598.41; MSE: 0.0999007
epoch:8; SSE:1492.55; MSE: 0.0932846
epoch:9; SSE:1451.59; MSE: 0.0907246
epoch:10; SSE:1365.82; MSE: 0.0853635
epoch:11; SSE:1264.77; MSE: 0.0790483
epoch:12; SSE:1175.09; MSE: 0.0734433
epoch:13; SSE:1167.95; MSE: 0.0729966
epoch:14; SSE:1145.84; MSE: 0.0716148
epoch:15; SSE:1094.29; MSE: 0.0683934
epoch:16; SSE:1068.66; MSE: 0.0667911
epoch:17; SSE:1036.48; MSE: 0.0647799
epoch:18; SSE:979.925; MSE: 0.0612453
epoch:19; SSE:930.772; MSE: 0.0581733
epoch:20; SSE:909.787; MSE: 0.0568617
epoch:21; SSE:907.387; MSE: 0.0567117
epoch:22; SSE:860.96; MSE: 0.05381
epoch:23; SSE:770.022; MSE: 0.0481263
epoch:24; SSE:749.013; MSE: 0.0468133
epoch:25; SSE:746.985; MSE: 0.0466866
epoch:26; SSE:710.651; MSE: 0.0444157
epoch:27; SSE:733.708; MSE: 0.0458567
epoch:28; SSE:675.99; MSE: 0.0422494
epoch:29; SSE:698.043; MSE: 0.0436277
epoch:30; SSE:658.498; MSE: 0.0411561
epoch:31; SSE:631.38; MSE: 0.0394612
epoch:32; SSE:627.479; MSE: 0.0392174
epoch:33; SSE:631.455; MSE: 0.0394659
epoch:34; SSE:653.866; MSE: 0.0408666
epoch:35; SSE:623.59; MSE: 0.0389744
epoch:36; SSE:639.632; MSE: 0.039977
epoch:37; SSE:576.345; MSE: 0.0360216
epoch:38; SSE:612.395; MSE: 0.0382747
epoch:39; SSE:625.61; MSE: 0.0391006
epoch:40; SSE:602.494; MSE: 0.0376559
epoch:41; SSE:556.366; MSE: 0.0347729
epoch:42; SSE:565.808; MSE: 0.035363
epoch:43; SSE:521.231; MSE: 0.0325769
epoch:44; SSE:480.039; MSE: 0.0300024
epoch:45; SSE:511.925; MSE: 0.0319953
epoch:46; SSE:543.774; MSE: 0.0339859
epoch:47; SSE:478.419; MSE: 0.0299012
epoch:48; SSE:465.648; MSE: 0.029103
epoch:49; SSE:504.897; MSE: 0.0315561
